pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
66;3863;Reingers;Reingers 106;direkt neben Campingplatz;;Spielplatz bei Campingplatz;Spielplatz bei Campingplatz,3863, Reingers;N;48.966.405;15.153.024;;
67;2500;Krainerhütte bei Baden;Helenental 41;;;Spielplatz bei Krainerhütte;Spielplatz bei Krainerhütte,2500, Krainerhütte bei Baden;N;48.022.816;16.165.802;;
68;3345;Göstling an der Ybbs;;;2006;Spielplatz beim Flussbad im Park;Spielplatz beim Flussbad im Park,3345, Göstling an der Ybbs;N;47.810.490;14.933.504;;
69;2770;Gutenstein;Hauptstraße 86;beim Schwimmbad;2003;Spielplatz beim Schwimmbad;Spielplatz beim Schwimmbad,2770, Gutenstein;N;47.876.776;15.891.037;;
70;2871;Zöbern;Schulstraße 5;;2003;Spielplatz beim Teich;Spielplatz beim Teich,2871, Zöbern;N;47.523.675;16.130.840;;
71;2724;Hohe Wand;Kleine Kanzel Straße 118;;;Spielplatz beim Wiener Neustädter Haus;Spielplatz beim Wiener Neustädter Haus,2724, Hohe Wand;N;47.835.442;16.015.867;;
72;2275;Bernhardsthal;Am Teich Nr. 222;bei der Raststation;2004;Spielplatz Bernhardsthal;Spielplatz Bernhardsthal,2275, Bernhardsthal;N;48.691.911;16.875.370;;
73;2020;Hollabrunn;Brunnthalgasse;zwischen Brunnthalgasse und Castelligasse;2003;Spielplatz Castelligasse;Spielplatz Castelligasse,2020, Hollabrunn;N;48.566.176;16.075.555;;
74;3813;Dietmanns;;im ehemaligen Schielpark, Ecke Hauptstraße/Dorfstraße;2003;Spielplatz Dietmanns;Spielplatz Dietmanns,3813, Dietmanns;N;48.794.578;15.383.455;;
75;3843;Dobersberg;Hohenauer Straße;bei Freizeitanlage Dobersberg;2002;Spielplatz Dobersberg;Spielplatz Dobersberg,3843, Dobersberg;N;48.917.494;15.316.724;;
76;3950;Ehrendorf;Flurgasse;Flurgasse am Ortsende von Ehrendorf;2004;Spielplatz Ehrendorf;Spielplatz Ehrendorf,3950, Ehrendorf;N;48.756.287;14.963.358;;
